11.2 9.0 0.7
50.1 28.0 0.6
138.0 14.0 0.7
14.4 12.0 0.7
11.7 26.0 0.8
79.2 28.0 0.7
11.9 4.0 0.7
7.3 4.0 0.6
43.9 41.0 0.7
140.5 7.0 0.7
9.4 1.0 0.6
0.5 0.0 0.8
4.4 3.0 0.8
3.6 0.0 0.8
9.9 7.0 0.8
78.3 24.0 0.8
129.1 7.0 0.6
159.9 7.0 0.7
150.4 16.0 0.7
132.2 8.0 0.7
9.9 5.0 0.7
12.0 5.0 0.8
0.7 0.0 0.7
3.0 27.0 0.7
23.1 41.0 0.7
22.6 41.0 0.7
24.1 9.0 0.7
19.6 9.0 0.7
20.0 9.0 0.7
1.9 2.0 0.8
0.6 0.0 0.6
6.0 11.0 0.8
5.1 13.0 0.6
19.2 9.0 0.7
138.7 7.0 0.7
28.1 12.0 0.7
23.2 24.0 0.8
134.9 8.0 0.7
130.4 8.0 0.7
132.6 8.0 0.7
130.1 8.0 0.7
143.4 8.0 0.7
128.0 7.0 0.7
23.7 5.0 0.8
2.3 0.0 0.8
2.3 0.0 0.8
7.4 51.0 0.7
0.9 1.0 0.8
74.3 31.0 0.6
15.5 4.0 0.7
74.3 28.0 0.8
29.5 20.0 0.6
30.5 20.0 0.6
30.3 18.0 0.6
3.2 1.0 0.6
164.6 6.0 0.8
9.8 2.0 0.7
22.7 7.0 0.8
137.8 13.0 0.7
2.3 0.0 0.7
2.2 0.0 0.7
4.0 41.0 0.8
8.0 7.0 0.6
7.7 1.0 0.7
13.8 1.0 0.8
47.4 12.0 0.8
173.9 24.0 0.6
0.7 0.0 0.8
4.6 27.0 0.6
34.5 12.0 0.8
17.7 13.0 0.6
33.5 10.0 0.6
22.1 4.0 0.6
152.3 11.0 0.7
178.7 8.0 0.7
149.6 26.0 0.8
125.8 6.0 0.7
2.3 0.0 0.8
2.7 0.0 0.7
18.7 27.0 0.8
5.7 28.0 0.8
2.4 2.0 0.8
2.5 26.0 0.6
56.6 12.0 0.7
58.0 15.0 0.7
1.2 0.0 0.8
5.5 11.0 0.7
11.8 15.0 0.6
33.8 24.0 0.6
10.9 12.0 0.6
18.1 25.0 0.6
0.7 1.0 0.6
1.7 0.0 0.6
24.3 11.0 0.7
34.1 13.0 0.6
57.6 15.0 0.7
0.0 0.0 0.7
0.4 0.0 0.7
21.9 63.0 0.7
0.4 1.0 0.8
5.6 2.0 0.8
201.7 26.0 0.6
0.0 0.0 0.7
44.9 37.0 0.7
0.0 1.0 0.6
0.0 0.0 0.7
169.4 36.0 0.7
135.1 18.0 0.8
88.3 11.0 0.8
136.3 8.0 0.6
6.1 11.0 0.8
6.8 15.0 0.6
29.1 27.0 0.7
61.9 27.0 0.7
3.8 0.0 0.7
2.7 1.0 0.8
68.9 26.0 0.8
17.8 27.0 0.7
27.5 27.0 0.8
11.8 27.0 0.7
8.7 27.0 0.7
3.7 27.0 0.7
7.5 27.0 0.7
9.6 27.0 0.7
131.1 18.0 0.7
13.5 51.0 0.7
2.4 1.0 0.8
85.9 31.0 0.8
2.2 0.0 0.7
5.3 27.0 0.8
8.2 17.0 0.7
0.0 1.0 0.7
0.0 0.0 0.7
0.6 26.0 0.7
121.9 38.0 0.8
4.4 33.0 0.8
5.6 14.0 0.6
67.5 6.0 0.7
164.4 4.0 0.8
164.4 4.0 0.8
164.4 4.0 0.8
93.7 22.0 0.7
57.1 26.0 0.8
155.8 4.0 0.8
4.3 47.0 0.8
15.4 1.0 0.8
8.4 1.0 0.8
186.9 9.0 0.6
16.7 26.0 0.8
131.6 13.0 0.8
147.6 5.0 0.8
51.9 26.0 0.8
2.3 16.0 0.8
0.0 18.0 0.7
0.3 10.0 0.7
2.1 8.0 0.8
1.1 1.0 0.8
7.3 11.0 0.8
39.9 19.0 0.8
89.5 9.0 0.7
1.5 26.0 0.7
0.0 6.0 0.8
0.5 10.0 0.6
2.0 7.0 0.8
2.7 2.0 0.8
45.0 21.0 0.8
39.2 8.0 0.7
161.5 10.0 0.6
39.7 26.0 0.7
131.4 12.0 0.8
0.3 43.0 0.8
0.4 5.0 0.8
0.4 6.0 0.8
0.0 3.0 0.8
22.6 24.0 0.8
149.6 24.0 0.8
0.9 25.0 0.8
0.9 25.0 0.8
14.8 49.0 0.8
36.3 12.0 0.6
47.9 9.0 0.6
54.9 11.0 0.7
0.9 24.0 0.8
0.2 24.0 0.8
9.2 24.0 0.8
52.7 24.0 0.8
1.8 8.0 0.8
1.9 30.0 0.8
3.2 9.0 0.8
7.3 22.0 0.8
4.7 18.0 0.7
50.9 19.0 0.8
100.7 19.0 0.6
2.3 23.0 0.8
15.2 48.0 0.8
8.0 23.0 0.8
0.2 23.0 0.8
22.9 23.0 0.8
125.1 15.0 0.8
48.3 23.0 0.8
1.4 23.0 0.8
1.9 23.0 0.8
2.2 23.0 0.8
0.9 23.0 0.8
0.2 23.0 0.8
36.6 23.0 0.8
38.5 23.0 0.8
47.1 23.0 0.8
12.4 18.0 0.8
15.1 47.0 0.7
15.0 47.0 0.7
42.7 22.0 0.7
130.2 19.0 0.7
62.4 22.0 0.7
0.5 22.0 0.7
0.5 22.0 0.7
0.5 22.0 0.7
34.1 23.0 0.6
155.6 10.0 0.6
0.4 37.0 0.7
25.2 22.0 0.8
80.6 29.0 0.6
0.0 40.0 0.7
0.9 5.0 0.6
136.0 23.0 0.8
37.6 22.0 0.7
41.8 22.0 0.7
34.3 22.0 0.7
38.1 22.0 0.7
5.5 47.0 0.7
5.7 47.0 0.7
0.0 30.0 0.8
1.4 6.0 0.7
3.4 9.0 0.8
9.6 12.0 0.8
47.1 31.0 0.6
5.4 1.0 0.6
0.5 21.0 0.8
27.1 21.0 0.8
0.5 21.0 0.8
100.0 35.0 0.6
31.3 3.0 0.6
92.3 8.0 0.8
145.6 10.0 0.7
5.7 46.0 0.8
20.8 12.0 0.6
17.1 5.0 0.6
40.0 13.0 0.8
256.4 10.0 0.8
60.9 60.0 0.8
10.2 3.0 0.8
3.5 0.0 0.8
12.7 4.0 0.8
68.4 11.0 0.7
23.1 58.0 0.8
32.0 13.0 0.6
8.3 6.0 0.8
181.1 5.0 0.7
0.0 27.0 0.8
0.0 0.0 0.7
0.0 1.0 0.7
0.0 1.0 0.7
0.7 9.0 0.7
21.4 19.0 0.8
92.3 19.0 0.6
0.0 32.0 0.8
26.8 26.0 0.8
143.4 34.0 0.6
30.1 60.0 0.8
22.2 8.0 0.8
66.9 11.0 0.7
23.4 58.0 0.8
14.2 5.0 0.6
7.9 4.0 0.8
21.6 10.0 0.7
0.0 25.0 0.7
0.4 8.0 0.7
0.3 3.0 0.8
9.2 6.0 0.8
0.2 19.0 0.7
47.8 19.0 0.7
0.0 23.0 0.7
12.4 20.0 0.8
15.5 17.0 0.7
42.0 13.0 0.7
4.9 16.0 0.8
0.0 22.0 0.8
0.7 11.0 0.8
0.6 3.0 0.8
5.2 6.0 0.8
0.0 22.0 0.8
0.2 9.0 0.7
0.0 2.0 0.7
10.4 19.0 0.8
44.9 17.0 0.6
10.1 4.0 0.6
5.2 15.0 0.6
0.4 1.0 0.8
21.1 23.0 0.8
145.2 36.0 0.6
26.5 13.0 0.6
15.9 13.0 0.6
17.7 13.0 0.6
144.6 29.0 0.6
0.0 33.0 0.8
2.8 14.0 0.6
40.2 14.0 0.6
48.8 9.0 0.7
0.0 21.0 0.8
10.0 20.0 0.8
32.7 12.0 0.6
100.7 19.0 0.6
0.5 15.0 0.8
0.2 15.0 0.8
0.2 15.0 0.8
0.5 15.0 0.8
18.4 15.0 0.8
3.2 1.0 0.6
3.4 1.0 0.6
3.3 1.0 0.6
10.5 1.0 0.6
9.7 1.0 0.6
9.8 1.0 0.6
2.7 14.0 0.8
0.5 14.0 0.8
0.5 14.0 0.8
131.8 17.0 0.8
7.3 63.0 0.8
2.1 36.0 0.8
3.6 1.0 0.6
6.7 1.0 0.6
170.6 10.0 0.8
0.0 32.0 0.8
1.5 14.0 0.6
1.8 4.0 0.6
48.9 14.0 0.7
37.8 6.0 0.7
0.0 32.0 0.8
1.1 14.0 0.6
19.1 14.0 0.6
7.1 4.0 0.7
38.4 6.0 0.7
0.0 1.0 0.8
0.8 31.0 0.8
22.7 19.0 0.8
60.9 19.0 0.8
0.0 1.0 0.8
0.6 31.0 0.8
34.7 19.0 0.8
92.9 19.0 0.6
0.6 32.0 0.8
126.8 34.0 0.8
0.2 14.0 0.8
186.2 33.0 0.6
0.0 1.0 0.8
0.2 13.0 0.8
0.2 14.0 0.8
0.0 1.0 0.8
0.5 13.0 0.8
0.5 14.0 0.8
0.0 1.0 0.8
0.2 13.0 0.8
0.2 14.0 0.8
0.0 20.0 0.8
1.3 11.0 0.8
12.3 9.0 0.6
0.0 20.0 0.8
2.2 14.0 0.8
40.1 19.0 0.8
100.7 19.0 0.6
1.8 32.0 0.8
8.0 6.0 0.8
31.1 12.0 0.6
100.4 19.0 0.6
0.3 13.0 0.8
86.0 37.0 0.7
0.0 19.0 0.8
0.6 11.0 0.8
0.3 3.0 0.8
24.5 19.0 0.8
80.6 29.0 0.6
0.0 19.0 0.8
53.9 33.0 0.8
127.4 17.0 0.6
3.6 36.0 0.8
18.7 11.0 0.8
3.4 1.0 0.8
9.4 3.0 0.6
26.6 8.0 0.8
170.7 15.0 0.7
88.3 50.0 0.8
190.9 29.0 0.8
0.6 12.0 0.8
0.4 12.0 0.8
91.1 49.0 0.8
145.4 6.0 0.8
91.1 49.0 0.8
3.5 12.0 0.8
3.5 12.0 0.8
0.0 18.0 0.8
5.2 21.0 0.8
1.5 30.0 0.8
45.3 19.0 0.8
181.8 26.0 0.8
0.2 12.0 0.8
187.7 25.0 0.8
0.0 17.0 0.8
1.5 14.0 0.8
36.6 19.0 0.8
97.5 19.0 0.6
0.0 17.0 0.8
0.6 14.0 0.8
4.8 6.0 0.8
14.9 12.0 0.6
161.6 35.0 0.6
3.6 11.0 0.8
5.9 10.0 0.8
0.0 16.0 0.8
0.6 12.0 0.8
27.5 30.0 0.8
35.6 9.0 0.7
101.8 16.0 0.6
0.2 10.0 0.8
11.3 37.0 0.8
54.3 19.0 0.8
86.8 14.0 0.8
0.2 10.0 0.8
10.7 36.0 0.8
28.8 11.0 0.8
45.0 9.0 0.8
171.0 8.0 0.7
0.1 9.0 0.8
0.0 6.0 0.6
10.1 33.0 0.8
168.7 27.0 0.8
0.2 16.0 0.7
0.3 14.0 0.8
5.8 15.0 0.8
4.0 4.0 0.8
24.9 19.0 0.6
155.1 25.0 0.8
0.4 25.0 0.7
0.0 2.0 0.7
20.1 19.0 0.8
92.3 19.0 0.6
0.0 8.0 0.7
0.0 6.0 0.8
0.6 14.0 0.8
17.7 19.0 0.8
143.9 35.0 0.6
0.0 7.0 0.8
0.0 6.0 0.8
0.6 12.0 0.8
2.4 10.0 0.8
5.8 11.0 0.8
159.0 26.0 0.8
0.2 7.0 0.8
120.4 26.0 0.8
0.2 6.0 0.8
3.7 2.0 0.7
1.3 1.0 0.8
2.1 1.0 0.8
0.6 0.0 0.8
0.6 0.0 0.7
0.5 0.0 0.7
0.0 0.0 0.8
7.0 6.0 0.6
1.1 0.0 0.8
2.2 1.0 0.8
3.8 1.0 0.8
4.3 6.0 0.8
42.3 4.0 0.8
1.1 0.0 0.8
18.3 10.0 0.8
10.2 4.0 0.7
2.2 1.0 0.8
1.4 0.0 0.6
2.6 0.0 0.7
3.4 3.0 0.7
32.2 9.0 0.7
1.0 3.0 0.7
6.4 15.0 0.6
14.2 10.0 0.6
0.0 10.0 0.8
0.6 14.0 0.8
18.7 19.0 0.8
52.3 19.0 0.6
0.2 4.0 0.8
17.0 4.0 0.8
1.3 1.0 0.8
0.0 40.0 0.8
31.2 19.0 0.7
153.9 14.0 0.8
